job_name,company_name,salary,city,district,experience,education,skill_tags,description,source,crawl_time,min_salary,max_salary
网络工程师,阿里数据服务有限公司,41-55K,西安,,经验不限,博士,"金融分析,财务报表",负责数据分析工作，要求本科及以上学历,generated,2026-03-30 19:41:46,20655,33864
数据库管理员,京东系统有限公司,35-80K,杭州,南山区,3-5 年,高中,"UI 设计,Photoshop,Sketch",负责软件开发工作，要求高中及以上学历,generated,2026-03-30 19:41:46,44715,61361
运维工程师,美团信息技术有限公司,35-19K,上海,朝阳区,3-5 年,大专,"PCB,FPGA",负责系统架构工作，要求博士及以上学历,generated,2026-03-30 19:41:46,48479,68532
Java 开发工程师,网易信息技术有限公司,19-21K,深圳,,1-3 年,高中,"品牌推广,营销策划,市场营销",负责系统架构工作，要求大专及以上学历,generated,2026-03-30 19:41:46,42874,76921
产品经理,京东信息技术有限公司,35-17K,上海,南山区,5-10 年,硕士,"硬件开发,PCB,电路设计,FPGA",负责产品设计工作，要求本科及以上学历,generated,2026-03-30 19:41:46,13996,58950
系统架构师,华为科技有限公司,38-76K,深圳,浦东新区,应届生,大专,"营销策划,品牌推广,市场营销",负责软件开发工作，要求博士及以上学历,generated,2026-03-30 19:41:46,9577,75891
数据分析师,腾讯网络技术有限公司,17-65K,武汉,浦东新区,5-10 年,本科,"UX 设计,Sketch,Photoshop,UI 设计",负责产品设计工作，要求本科及以上学历,generated,2026-03-30 19:41:46,8091,39275
系统架构师,OPPO数据服务有限公司,10-21K,深圳,天河区,5-10 年,博士,"硬件开发,PCB",负责产品设计工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,16743,67604
全栈工程师,百度科技有限公司,28-19K,上海,天河区,应届生,本科,"量化分析,财务报表,风险管理,投资分析,金融分析",负责产品设计工作，要求高中及以上学历,generated,2026-03-30 19:41:46,30742,57642
全栈工程师,字节信息技术有限公司,44-38K,武汉,南山区,3-5 年,大专,"Git,软件开发,敏捷开发",负责软件开发工作，要求博士及以上学历,generated,2026-03-30 19:41:46,26812,44385
UI 设计师,网易数据服务有限公司,29-79K,西安,海淀区,5-10 年,本科,"Java,算法,Linux,C++",负责产品设计工作，要求大专及以上学历,generated,2026-03-30 19:41:46,12386,77657
系统架构师,字节数据服务有限公司,46-40K,上海,天河区,3-5 年,硕士,"深度学习,NLP,机器学习,PyTorch,TensorFlow",负责系统架构工作，要求博士及以上学历,generated,2026-03-30 19:41:46,30283,46991
产品经理,字节网络技术有限公司,24-42K,武汉,朝阳区,3-5 年,高中,"PyTorch,机器学习",负责产品设计工作，要求大专及以上学历,generated,2026-03-30 19:41:46,8948,20135
软件工程师,网易科技有限公司,11-31K,上海,浦东新区,经验不限,大专,"Photoshop,UX 设计,Figma,Sketch",负责数据分析工作，要求高中及以上学历,generated,2026-03-30 19:41:46,25765,32121
产品经理,腾讯网络技术有限公司,13-73K,武汉,天河区,1-3 年,博士,"单片机,嵌入式,FPGA",负责系统架构工作，要求博士及以上学历,generated,2026-03-30 19:41:46,8881,37431
数据库管理员,腾讯科技有限公司,38-48K,南京,海淀区,经验不限,大专,"敏捷开发,Vue,Git,Spring,软件工程",负责系统架构工作，要求大专及以上学历,generated,2026-03-30 19:41:46,43632,73865
算法工程师,美团网络技术有限公司,22-34K,西安,南山区,5-10 年,本科,"软件开发,敏捷开发",负责产品设计工作，要求本科及以上学历,generated,2026-03-30 19:41:46,37450,40273
算法工程师,字节科技有限公司,37-44K,西安,浦东新区,应届生,大专,"量化分析,财务报表,投资分析,金融分析,风险管理",负责系统架构工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,18473,31914
网络工程师,OPPO科技有限公司,49-58K,武汉,天河区,应届生,博士,"项目管理,数据分析,商业分析",负责系统架构工作，要求博士及以上学历,generated,2026-03-30 19:41:46,47472,45377
算法工程师,小米数据服务有限公司,26-42K,杭州,浦东新区,3-5 年,大专,"TensorFlow,NLP,PyTorch",负责软件开发工作，要求高中及以上学历,generated,2026-03-30 19:41:46,45723,62321
软件工程师,字节科技有限公司,43-60K,成都,浦东新区,经验不限,高中,"沟通协调,项目管理,数据分析",负责软件开发工作，要求高中及以上学历,generated,2026-03-30 19:41:46,33731,63024
运维工程师,网易智能科技有限公司,39-65K,成都,天河区,1-3 年,博士,"硬件开发,电路设计",负责软件开发工作，要求大专及以上学历,generated,2026-03-30 19:41:46,9545,49609
数据分析师,华为网络技术有限公司,49-19K,成都,南山区,经验不限,大专,"商业分析,项目管理,数据分析,沟通协调",负责产品设计工作，要求本科及以上学历,generated,2026-03-30 19:41:46,33400,74308
全栈工程师,字节信息技术有限公司,25-33K,北京,天河区,经验不限,高中,"TensorFlow,深度学习,NLP,PyTorch",负责数据分析工作，要求本科及以上学历,generated,2026-03-30 19:41:46,27447,49660
系统架构师,阿里智能科技有限公司,22-45K,成都,朝阳区,5-10 年,硕士,"Vue,敏捷开发,软件工程,软件开发",负责系统架构工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,31688,18141
UI 设计师,VIVO科技有限公司,42-53K,广州,朝阳区,应届生,博士,"UX 设计,Sketch,Photoshop",负责产品设计工作，要求博士及以上学历,generated,2026-03-30 19:41:46,32906,63392
软件工程师,字节智能科技有限公司,38-15K,北京,浦东新区,经验不限,博士,"C++,数据库",负责软件开发工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,12450,57273
UI 设计师,华为智能科技有限公司,12-29K,苏州,天河区,3-5 年,高中,"Spring,敏捷开发,Git",负责软件开发工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,9527,18437
UI 设计师,阿里数据服务有限公司,26-45K,北京,海淀区,3-5 年,大专,"FPGA,硬件开发,嵌入式",负责系统架构工作，要求博士及以上学历,generated,2026-03-30 19:41:46,10864,57356
软件工程师,腾讯科技有限公司,49-19K,南京,天河区,3-5 年,硕士,"品牌推广,新媒体运营,市场营销,市场调研",负责软件开发工作，要求大专及以上学历,generated,2026-03-30 19:41:46,10403,35401
UI 设计师,小米信息技术有限公司,11-60K,南京,,5-10 年,硕士,"TensorFlow,PyTorch,深度学习",负责系统架构工作，要求高中及以上学历,generated,2026-03-30 19:41:46,42398,72577
数据分析师,京东系统有限公司,30-29K,苏州,海淀区,1-3 年,大专,"软件开发,Git,Spring,Vue,软件工程",负责系统架构工作，要求大专及以上学历,generated,2026-03-30 19:41:46,35502,71792
软件工程师,华为信息技术有限公司,31-23K,武汉,浦东新区,应届生,高中,"机器学习,TensorFlow,CV",负责系统架构工作，要求大专及以上学历,generated,2026-03-30 19:41:46,14147,75587
软件工程师,网易智能科技有限公司,9-75K,广州,南山区,经验不限,大专,"风险管理,量化分析",负责数据分析工作，要求博士及以上学历,generated,2026-03-30 19:41:46,22408,68501
运维工程师,阿里信息技术有限公司,12-52K,北京,朝阳区,5-10 年,本科,"沟通协调,项目管理,数据分析,商业分析",负责软件开发工作，要求高中及以上学历,generated,2026-03-30 19:41:46,19022,60842
软件工程师,百度数据服务有限公司,19-34K,广州,浦东新区,5-10 年,大专,"硬件开发,FPGA,电路设计,嵌入式",负责系统架构工作，要求博士及以上学历,generated,2026-03-30 19:41:46,16679,63986
UI 设计师,百度系统有限公司,31-63K,西安,南山区,1-3 年,高中,"Spring,Git",负责软件开发工作，要求高中及以上学历,generated,2026-03-30 19:41:46,41302,36834
软件工程师,京东系统有限公司,31-52K,武汉,海淀区,3-5 年,博士,"NLP,机器学习,TensorFlow,PyTorch,深度学习",负责软件开发工作，要求本科及以上学历,generated,2026-03-30 19:41:46,27962,37978
产品经理,字节数据服务有限公司,27-43K,苏州,,5-10 年,大专,"敏捷开发,Vue,软件工程,软件开发,Git",负责系统架构工作，要求高中及以上学历,generated,2026-03-30 19:41:46,8302,18732
网络工程师,百度科技有限公司,25-25K,苏州,天河区,1-3 年,大专,"PyTorch,NLP,深度学习,TensorFlow",负责产品设计工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,15886,52707
Java 开发工程师,OPPO科技有限公司,13-44K,杭州,南山区,经验不限,硕士,"Git,软件工程",负责数据分析工作，要求本科及以上学历,generated,2026-03-30 19:41:46,27933,16424
网络工程师,腾讯系统有限公司,16-79K,西安,,5-10 年,本科,"量化分析,金融分析,投资分析,财务报表,风险管理",负责产品设计工作，要求高中及以上学历,generated,2026-03-30 19:41:46,37708,26391
测试工程师,小米网络技术有限公司,47-68K,杭州,天河区,3-5 年,大专,"市场调研,营销策划,品牌推广,市场营销",负责数据分析工作，要求大专及以上学历,generated,2026-03-30 19:41:46,44302,66260
测试工程师,OPPO信息技术有限公司,48-73K,杭州,朝阳区,1-3 年,大专,"TensorFlow,CV",负责系统架构工作，要求大专及以上学历,generated,2026-03-30 19:41:46,22736,78699
数据分析师,美团智能科技有限公司,50-58K,杭州,海淀区,3-5 年,博士,"NLP,深度学习,机器学习",负责产品设计工作，要求本科及以上学历,generated,2026-03-30 19:41:46,14518,20709
系统架构师,美团数据服务有限公司,49-68K,北京,海淀区,5-10 年,博士,"Python,Java,C++",负责软件开发工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,8443,23293
数据库管理员,OPPO科技有限公司,24-60K,南京,浦东新区,经验不限,大专,"UX 设计,Sketch,Photoshop,UI 设计,Figma",负责产品设计工作，要求博士及以上学历,generated,2026-03-30 19:41:46,46740,71127
数据库管理员,百度网络技术有限公司,13-31K,杭州,海淀区,5-10 年,硕士,"市场调研,市场营销,营销策划,品牌推广,新媒体运营",负责数据分析工作，要求博士及以上学历,generated,2026-03-30 19:41:46,20980,23561
后端开发工程师,OPPO数据服务有限公司,19-20K,苏州,南山区,应届生,本科,"Linux,数据结构",负责产品设计工作，要求大专及以上学历,generated,2026-03-30 19:41:46,42756,77633
算法工程师,阿里网络技术有限公司,12-62K,广州,,5-10 年,硕士,"市场调研,市场营销",负责产品设计工作，要求博士及以上学历,generated,2026-03-30 19:41:46,11916,78135
数据库管理员,京东信息技术有限公司,50-48K,成都,南山区,5-10 年,高中,"Linux,算法,Python,数据库",负责软件开发工作，要求本科及以上学历,generated,2026-03-30 19:41:46,10860,74784
测试工程师,百度数据服务有限公司,26-18K,苏州,朝阳区,经验不限,大专,"品牌推广,新媒体运营",负责软件开发工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,9504,78897
Python 开发工程师,腾讯网络技术有限公司,12-47K,成都,浦东新区,1-3 年,高中,"财务报表,金融分析,投资分析",负责软件开发工作，要求高中及以上学历,generated,2026-03-30 19:41:46,8465,42090
数据库管理员,OPPO智能科技有限公司,39-71K,南京,朝阳区,5-10 年,高中,"市场调研,新媒体运营,营销策划",负责数据分析工作，要求本科及以上学历,generated,2026-03-30 19:41:46,29639,48170
网络工程师,OPPO科技有限公司,23-23K,上海,,应届生,大专,"UX 设计,Figma,Photoshop",负责系统架构工作，要求本科及以上学历,generated,2026-03-30 19:41:46,23856,17670
前端开发工程师,华为信息技术有限公司,19-47K,广州,海淀区,经验不限,高中,"市场调研,营销策划,品牌推广",负责软件开发工作，要求博士及以上学历,generated,2026-03-30 19:41:46,35619,28276
UI 设计师,京东数据服务有限公司,24-37K,武汉,天河区,1-3 年,大专,"Git,软件工程,Vue,Spring",负责系统架构工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,42769,59036
软件工程师,京东信息技术有限公司,48-43K,武汉,海淀区,3-5 年,高中,"Figma,平面设计,UI 设计,Sketch",负责数据分析工作，要求大专及以上学历,generated,2026-03-30 19:41:46,16685,52227
网络工程师,百度网络技术有限公司,23-21K,广州,海淀区,应届生,大专,"C++,Python,Linux,数据库,算法",负责产品设计工作，要求博士及以上学历,generated,2026-03-30 19:41:46,15461,32495
算法工程师,阿里科技有限公司,10-18K,广州,南山区,3-5 年,硕士,"Figma,UI 设计",负责产品设计工作，要求高中及以上学历,generated,2026-03-30 19:41:46,25706,32280
系统架构师,百度智能科技有限公司,24-58K,上海,海淀区,5-10 年,本科,"品牌推广,新媒体运营",负责软件开发工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,8259,37443
软件工程师,美团信息技术有限公司,30-49K,深圳,南山区,经验不限,博士,"投资分析,金融分析,量化分析",负责软件开发工作，要求本科及以上学历,generated,2026-03-30 19:41:46,41395,76761
产品经理,美团系统有限公司,28-78K,成都,天河区,3-5 年,硕士,"深度学习,NLP,PyTorch,TensorFlow",负责产品设计工作，要求本科及以上学历,generated,2026-03-30 19:41:46,18527,32943
网络工程师,阿里科技有限公司,37-29K,上海,浦东新区,经验不限,大专,"投资分析,财务报表,量化分析,风险管理",负责软件开发工作，要求高中及以上学历,generated,2026-03-30 19:41:46,14908,75909
UI 设计师,VIVO信息技术有限公司,37-43K,上海,南山区,应届生,硕士,"市场调研,营销策划",负责系统架构工作，要求高中及以上学历,generated,2026-03-30 19:41:46,13979,69686
测试工程师,阿里科技有限公司,30-59K,西安,朝阳区,1-3 年,硕士,"风险管理,投资分析,金融分析,量化分析",负责数据分析工作，要求本科及以上学历,generated,2026-03-30 19:41:46,27230,52735
Python 开发工程师,百度信息技术有限公司,45-60K,深圳,浦东新区,3-5 年,本科,"风险管理,财务报表,金融分析,量化分析,投资分析",负责软件开发工作，要求大专及以上学历,generated,2026-03-30 19:41:46,47673,78131
系统架构师,京东网络技术有限公司,29-66K,西安,海淀区,3-5 年,大专,"团队协作,沟通协调,商业分析,项目管理,数据分析",负责系统架构工作，要求高中及以上学历,generated,2026-03-30 19:41:46,46206,52159
产品经理,华为系统有限公司,20-75K,广州,浦东新区,5-10 年,本科,"数据库,C++",负责系统架构工作，要求本科及以上学历,generated,2026-03-30 19:41:46,36952,62842
全栈工程师,VIVO数据服务有限公司,25-17K,成都,朝阳区,经验不限,博士,"Figma,Photoshop,Sketch",负责数据分析工作，要求本科及以上学历,generated,2026-03-30 19:41:46,33370,72640
前端开发工程师,华为系统有限公司,28-30K,广州,朝阳区,5-10 年,大专,"数据结构,数据库,Linux",负责软件开发工作，要求大专及以上学历,generated,2026-03-30 19:41:46,15046,71174
测试工程师,VIVO信息技术有限公司,12-76K,杭州,海淀区,1-3 年,本科,"团队协作,沟通协调,商业分析",负责数据分析工作，要求博士及以上学历,generated,2026-03-30 19:41:46,20839,57889
Java 开发工程师,VIVO信息技术有限公司,28-41K,苏州,浦东新区,经验不限,本科,"新媒体运营,营销策划,市场营销,品牌推广",负责数据分析工作，要求高中及以上学历,generated,2026-03-30 19:41:46,32310,78806
Python 开发工程师,OPPO数据服务有限公司,46-36K,苏州,朝阳区,3-5 年,高中,"Photoshop,平面设计",负责产品设计工作，要求本科及以上学历,generated,2026-03-30 19:41:46,33363,53568
Python 开发工程师,美团科技有限公司,42-57K,杭州,海淀区,1-3 年,本科,"敏捷开发,软件工程,Vue,Git,软件开发",负责产品设计工作，要求高中及以上学历,generated,2026-03-30 19:41:46,29213,64428
产品经理,小米科技有限公司,10-64K,苏州,,5-10 年,本科,"Spring,Vue",负责数据分析工作，要求本科及以上学历,generated,2026-03-30 19:41:46,12072,47533
软件工程师,小米网络技术有限公司,8-69K,上海,朝阳区,5-10 年,本科,"TensorFlow,NLP",负责系统架构工作，要求本科及以上学历,generated,2026-03-30 19:41:46,22705,50439
UI 设计师,阿里科技有限公司,8-75K,西安,海淀区,经验不限,硕士,"平面设计,UX 设计,Figma,UI 设计,Sketch",负责数据分析工作，要求大专及以上学历,generated,2026-03-30 19:41:46,16704,19654
测试工程师,百度信息技术有限公司,20-27K,深圳,南山区,1-3 年,本科,"品牌推广,市场调研,营销策划,市场营销",负责软件开发工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,14782,66490
软件工程师,美团数据服务有限公司,32-66K,成都,朝阳区,经验不限,本科,"新媒体运营,市场调研,营销策划",负责产品设计工作，要求博士及以上学历,generated,2026-03-30 19:41:46,21522,60615
数据分析师,OPPO网络技术有限公司,19-25K,广州,海淀区,3-5 年,硕士,"市场调研,营销策划,品牌推广,市场营销",负责系统架构工作，要求本科及以上学历,generated,2026-03-30 19:41:46,12746,69966
后端开发工程师,美团网络技术有限公司,40-69K,杭州,,3-5 年,本科,"风险管理,金融分析,财务报表",负责软件开发工作，要求博士及以上学历,generated,2026-03-30 19:41:46,16579,22060
算法工程师,京东系统有限公司,30-33K,深圳,朝阳区,5-10 年,硕士,"风险管理,金融分析,财务报表,量化分析,投资分析",负责数据分析工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,40723,33818
UI 设计师,美团系统有限公司,29-45K,西安,,5-10 年,硕士,"Git,软件开发,Vue",负责系统架构工作，要求大专及以上学历,generated,2026-03-30 19:41:46,17681,68640
Python 开发工程师,阿里数据服务有限公司,36-43K,杭州,天河区,应届生,高中,"市场营销,新媒体运营,营销策划,品牌推广,市场调研",负责产品设计工作，要求大专及以上学历,generated,2026-03-30 19:41:46,14463,48583
数据库管理员,字节智能科技有限公司,46-19K,北京,南山区,经验不限,硕士,"TensorFlow,机器学习,NLP,PyTorch,CV",负责系统架构工作，要求高中及以上学历,generated,2026-03-30 19:41:46,49505,17545
运维工程师,京东信息技术有限公司,41-26K,苏州,浦东新区,应届生,硕士,"Sketch,UI 设计,Figma,平面设计,Photoshop",负责数据分析工作，要求本科及以上学历,generated,2026-03-30 19:41:46,12650,39742
软件工程师,阿里科技有限公司,44-68K,深圳,,1-3 年,本科,"市场营销,市场调研",负责系统架构工作，要求高中及以上学历,generated,2026-03-30 19:41:46,29158,15261
网络工程师,华为信息技术有限公司,34-42K,成都,海淀区,5-10 年,博士,"嵌入式,硬件开发,PCB,电路设计,FPGA",负责软件开发工作，要求高中及以上学历,generated,2026-03-30 19:41:46,35957,65478
软件工程师,字节科技有限公司,13-76K,广州,,1-3 年,本科,"沟通协调,项目管理,数据分析,团队协作,商业分析",负责数据分析工作，要求大专及以上学历,generated,2026-03-30 19:41:46,20147,50213
软件工程师,阿里信息技术有限公司,41-69K,深圳,南山区,5-10 年,硕士,"新媒体运营,市场营销",负责系统架构工作，要求大专及以上学历,generated,2026-03-30 19:41:46,15281,71048
数据库管理员,小米系统有限公司,48-38K,成都,天河区,3-5 年,硕士,"品牌推广,市场营销",负责软件开发工作，要求本科及以上学历,generated,2026-03-30 19:41:46,26205,54424
后端开发工程师,美团数据服务有限公司,20-53K,成都,海淀区,3-5 年,高中,"Vue,Git,软件工程,Spring,软件开发",负责系统架构工作，要求本科及以上学历,generated,2026-03-30 19:41:46,30269,23895
网络工程师,VIVO信息技术有限公司,27-65K,深圳,天河区,5-10 年,本科,"数据结构,Java",负责系统架构工作，要求本科及以上学历,generated,2026-03-30 19:41:46,23382,30436
Python 开发工程师,VIVO系统有限公司,23-74K,杭州,朝阳区,应届生,硕士,"Python,数据结构,C++,算法",负责系统架构工作，要求博士及以上学历,generated,2026-03-30 19:41:46,26823,62034
数据库管理员,华为信息技术有限公司,28-22K,苏州,朝阳区,应届生,硕士,"平面设计,Photoshop,UX 设计",负责软件开发工作，要求博士及以上学历,generated,2026-03-30 19:41:46,24767,61544
Python 开发工程师,小米智能科技有限公司,31-23K,南京,,1-3 年,硕士,"品牌推广,新媒体运营,市场营销,营销策划",负责产品设计工作，要求本科及以上学历,generated,2026-03-30 19:41:46,12190,79132
数据分析师,腾讯数据服务有限公司,29-48K,苏州,,3-5 年,高中,"Spring,Vue,Git,软件开发,敏捷开发",负责产品设计工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,25725,52335
网络工程师,美团信息技术有限公司,25-62K,苏州,朝阳区,1-3 年,博士,"软件工程,敏捷开发",负责系统架构工作，要求大专及以上学历,generated,2026-03-30 19:41:46,10345,19111
Python 开发工程师,OPPO系统有限公司,40-19K,西安,浦东新区,经验不限,博士,"FPGA,硬件开发,电路设计",负责系统架构工作，要求本科及以上学历,generated,2026-03-30 19:41:46,16257,54965
产品经理,VIVO数据服务有限公司,31-69K,南京,浦东新区,应届生,大专,"软件工程,Vue,软件开发,Git,Spring",负责系统架构工作，要求硕士及以上学历,generated,2026-03-30 19:41:46,22610,71645
算法工程师,VIVO数据服务有限公司,24-44K,深圳,南山区,3-5 年,大专,"品牌推广,市场营销,新媒体运营",负责系统架构工作，要求博士及以上学历,generated,2026-03-30 19:41:46,41405,48669
UI 设计师,小米智能科技有限公司,32-22K,南京,,1-3 年,高中,"品牌推广,营销策划,市场调研,市场营销",负责系统架构工作，要求高中及以上学历,generated,2026-03-30 19:41:46,23951,48132
